날짜,아티스트,월별 청취자,팔로워,URL
2026-08-14,우희준,정보 없음,정보 없음,https://open.spotify.com/artist/0QPwpwjMdM0lU9NPmmqyEK
2026-08-14,이디오테잎,정보 없음,정보 없음,https://open.spotify.com/artist/0OmQCkk1rR3DJ0Y2NRxp6Z
2026-08-14,키라라,정보 없음,정보 없음,https://open.spotify.com/artist/6Q4tDWdAQdRjV4pAuqiHQW
2026-08-14,피치트럭하이재커스,정보 없음,정보 없음,https://open.spotify.com/artist/4RBk8cCsxzo5v0rHu5EgPA
2026-08-14,김창완밴드,정보 없음,정보 없음,https://open.spotify.com/artist/2bpghoDPX6onfPzQv570rM
2026-08-14,봉제인간,정보 없음,정보 없음,https://open.spotify.com/artist/3zyq3DzSd4aue9Q7s1qMVu
2026-08-14,추다혜차지스,정보 없음,정보 없음,https://open.spotify.com/artist/3ttQR1taRsySrYIc2U3iAA
2026-08-14,세이수미,정보 없음,정보 없음,https://open.spotify.com/artist/4tvbo17gXpYgSr8sTlkaby
2026-08-15,브로콜리너마저,정보 없음,정보 없음,https://open.spotify.com/artist/1gq4XavqmZhqOzEkpFBz1j
2026-08-15,아도이,정보 없음,정보 없음,https://open.spotify.com/artist/64sY7LsUjNE3ifONkftTXC
2026-08-15,우희준,정보 없음,정보 없음,https://open.spotify.com/artist/0QPwpwjMdM0lU9NPmmqyEK
2026-08-15,이디오테잎,정보 없음,정보 없음,https://open.spotify.com/artist/0OmQCkk1rR3DJ0Y2NRxp6Z
2026-08-15,키라라,정보 없음,정보 없음,https://open.spotify.com/artist/6Q4tDWdAQdRjV4pAuqiHQW
2026-08-15,피치트럭하이재커스,정보 없음,정보 없음,https://open.spotify.com/artist/4RBk8cCsxzo5v0rHu5EgPA
2026-08-15,김창완밴드,정보 없음,정보 없음,https://open.spotify.com/artist/2bpghoDPX6onfPzQv570rM
2026-08-15,봉제인간,정보 없음,정보 없음,https://open.spotify.com/artist/3zyq3DzSd4aue9Q7s1qMVu
2026-08-15,추다혜차지스,정보 없음,정보 없음,https://open.spotify.com/artist/3ttQR1taRsySrYIc2U3iAA
2026-08-15,세이수미,정보 없음,정보 없음,https://open.spotify.com/artist/4tvbo17gXpYgSr8sTlkaby
2026-08-16,브로콜리너마저,정보 없음,정보 없음,https://open.spotify.com/artist/1gq4XavqmZhqOzEkpFBz1j
2026-08-16,아도이,정보 없음,정보 없음,https://open.spotify.com/artist/64sY7LsUjNE3ifONkftTXC
2026-08-16,우희준,정보 없음,정보 없음,https://open.spotify.com/artist/0QPwpwjMdM0lU9NPmmqyEK
2026-08-16,이디오테잎,정보 없음,정보 없음,https://open.spotify.com/artist/0OmQCkk1rR3DJ0Y2NRxp6Z
2026-08-16,키라라,정보 없음,정보 없음,https://open.spotify.com/artist/6Q4tDWdAQdRjV4pAuqiHQW
2026-08-16,피치트럭하이재커스,정보 없음,정보 없음,https://open.spotify.com/artist/4RBk8cCsxzo5v0rHu5EgPA
2026-08-16,김창완밴드,정보 없음,정보 없음,https://open.spotify.com/artist/2bpghoDPX6onfPzQv570rM
2026-08-16,봉제인간,정보 없음,정보 없음,https://open.spotify.com/artist/3zyq3DzSd4aue9Q7s1qMVu
2026-08-16,추다혜차지스,정보 없음,정보 없음,https://open.spotify.com/artist/3ttQR1taRsySrYIc2U3iAA
2026-08-16,세이수미,정보 없음,정보 없음,https://open.spotify.com/artist/4tvbo17gXpYgSr8sTlkaby
2026-08-17,브로콜리너마저,정보 없음,정보 없음,https://open.spotify.com/artist/1gq4XavqmZhqOzEkpFBz1j
2026-08-17,아도이,정보 없음,정보 없음,https://open.spotify.com/artist/64sY7LsUjNE3ifONkftTXC
2026-08-17,우희준,정보 없음,정보 없음,https://open.spotify.com/artist/0QPwpwjMdM0lU9NPmmqyEK
2026-08-17,이디오테잎,정보 없음,정보 없음,https://open.spotify.com/artist/0OmQCkk1rR3DJ0Y2NRxp6Z
2026-08-17,키라라,정보 없음,정보 없음,https://open.spotify.com/artist/6Q4tDWdAQdRjV4pAuqiHQW
2026-08-17,피치트럭하이재커스,정보 없음,정보 없음,https://open.spotify.com/artist/4RBk8cCsxzo5v0rHu5EgPA
2026-08-17,김창완밴드,정보 없음,정보 없음,https://open.spotify.com/artist/2bpghoDPX6onfPzQv570rM
2026-08-17,봉제인간,정보 없음,정보 없음,https://open.spotify.com/artist/3zyq3DzSd4aue9Q7s1qMVu
2026-08-17,추다혜차지스,정보 없음,정보 없음,https://open.spotify.com/artist/3ttQR1taRsySrYIc2U3iAA
2026-08-17,세이수미,정보 없음,정보 없음,https://open.spotify.com/artist/4tvbo17gXpYgSr8sTlkaby
2026-08-18,브로콜리너마저,정보 없음,정보 없음,https://open.spotify.com/artist/1gq4XavqmZhqOzEkpFBz1j
2026-08-18,아도이,정보 없음,정보 없음,https://open.spotify.com/artist/64sY7LsUjNE3ifONkftTXC
2026-08-18,우희준,정보 없음,정보 없음,https://open.spotify.com/artist/0QPwpwjMdM0lU9NPmmqyEK
